Timestamp;BLDC_POSTION;temp_max;temp_min;scop_sample
0;925;7194;4;979
1082;925;7194;4;979
2087;925;7194;4;979
3084;925;7194;4;979
4088;925;7194;4;979
5083;925;7194;4;979
6087;925;7194;4;979
7089;925;7194;4;979
8086;925;7194;4;979
9087;925;7194;4;979
10084;926;7194;4;979
11086;925;7194;4;979
12090;925;7194;4;979
13085;925;7194;4;979
14089;925;7194;4;979
15089;925;7194;4;979
16085;924;7194;4;979
17086;925;7194;4;979
18082;925;7194;4;979
19083;925;7194;4;979
20087;925;7194;4;979
21089;926;7194;4;979
22085;925;7194;4;979
23088;925;7194;4;979
24099;925;7194;4;979
25087;925;7194;4;979
26089;926;7194;4;979
27085;925;7194;4;979
28086;924;7194;4;979
29082;925;7194;4;979
30083;925;7194;4;979
31087;925;7194;4;979
32088;924;7194;4;979
33087;926;7194;4;979
34100;925;7194;4;979
35088;924;7194;4;979
36089;924;7194;4;979
37086;925;7194;4;979
38087;925;7194;4;979
39083;925;7194;4;979
40084;926;7194;4;979
41088;925;7194;4;979
42089;925;7194;4;979
43088;925;7194;4;979
44088;925;7194;4;979
45103;925;7194;4;979
46083;925;7194;4;979
47085;925;7194;4;979
48089;925;7194;4;979
49083;925;7194;4;979
50088;925;7194;4;979
51089;925;7194;4;979
52086;926;7194;4;979
53083;925;7194;4;979
54088;925;7194;4;979
55102;925;7194;4;979
56083;925;7194;4;979
57085;926;7194;4;979
58090;924;7194;4;979
59084;925;7194;4;979
60088;926;7194;4;979
61082;925;7194;4;979
62087;924;7194;4;979
63083;925;7194;4;979
64088;924;7194;4;979
65103;925;7194;4;979
66085;925;7194;4;979
67087;925;7194;4;979
68083;925;7194;4;979
69085;925;7194;4;979
70082;925;7194;4;979
71084;925;7194;4;979
72088;925;7194;4;979
73085;925;7194;4;979
74090;925;7194;4;979
75099;925;7194;4;979
76088;925;7194;4;979
77082;924;7194;4;979
78086;925;7194;4;979
79086;925;7194;4;979
80089;925;7194;4;979
81082;925;7194;4;979
82086;925;7194;4;979
83082;925;7194;4;979
84086;925;7194;4;979
85102;925;7194;4;979
86090;925;7194;4;979
87083;925;7194;4;979
88087;925;7194;4;979
89088;925;7194;4;979
90084;925;7194;4;979
91085;925;7194;4;979
92089;925;7194;4;979
93085;925;7194;4;979
94089;926;7194;4;979
95102;925;7194;4;979
96082;925;7194;4;979
97084;925;7194;4;979
98088;925;7194;4;979
99088;925;7194;4;979
100084;924;7194;4;979
101086;925;7194;4;925
102082;925;7194;4;925
103086;924;7194;4;925
104090;925;7194;4;925
105096;925;7194;4;925
106085;924;7194;4;925
107086;925;7194;4;925
108082;926;7194;4;925
109084;925;7194;4;925
110087;925;7194;4;925
111088;925;7194;4;925
112084;925;7194;4;925
113089;925;7194;4;925
114085;925;7194;4;925
115101;925;7194;4;925
116090;925;7194;4;925
117085;925;7194;4;925
118089;925;7194;4;925
119083;925;7194;4;925
120088;925;7194;4;925
121089;925;7194;4;925
122086;926;7194;4;925
123082;926;7194;4;925
124087;926;7194;4;925
125097;925;7194;4;925
126086;925;7194;4;925
127088;925;7194;4;925
128085;925;7194;4;925
129086;925;7194;4;925
130083;925;7194;4;925
131085;925;7194;4;925
132089;925;7194;4;925
133086;926;7194;4;925
134083;925;7194;4;925
135098;925;7194;4;925
136087;925;7194;4;925
137089;924;7194;4;925
138086;925;7194;4;925
139088;925;7194;4;925
140084;925;7194;4;925
141086;924;7194;4;925
142083;925;7194;4;925
143087;925;7194;4;925
144083;925;7194;4;925
145083;925;7194;4;925
146097;925;7194;4;925
147088;925;7194;4;925
148089;925;7194;4;925
149085;925;7194;4;925
150086;925;7194;4;925
151082;924;7194;4;925
152083;925;7194;4;925
153082;925;7194;4;925
154083;924;7194;4;925
155087;925;7194;4;925
156097;924;7194;4;925
157086;926;7194;4;925
158087;924;7194;4;925
159083;925;7194;4;925
160084;924;7194;4;925
161088;925;7194;4;925
162089;925;7194;4;925
163088;924;7194;4;925
164088;925;7194;4;925
165085;925;7194;4;925
166100;925;7194;4;925
167088;925;7194;4;925
168090;925;7194;4;925
169086;925;7194;4;925
170087;925;7194;4;925
171083;925;7194;4;925
172084;925;7194;4;925
173083;925;7194;4;925
174084;925;7194;4;925
175088;925;7194;4;925
176098;925;7194;4;925
177086;925;7194;4;925
178088;925;7194;4;925
179085;925;7194;4;925
180086;925;7194;4;925
181083;925;7194;4;925
182085;925;7194;4;925
183085;925;7194;4;925
184087;925;7194;4;925
185083;925;7194;4;925
186096;925;7194;4;925
187085;926;7194;4;925
188087;925;7194;4;925
189085;926;7194;4;925
190086;925;7194;4;925
191083;925;7194;4;925
192085;925;7194;4;925
193085;926;7194;4;925
194086;925;7194;4;925
195083;925;7194;4;925
196098;924;7194;4;925
197087;925;7194;4;925
198089;926;7194;4;925
199086;925;7194;4;925
200088;925;7194;4;925
201084;924;7194;4;925
202086;925;7194;4;925
203086;924;7194;4;925
204088;925;7194;4;925
205085;925;7194;4;925
206097;925;7194;4;925
207086;925;7194;4;925
208088;925;7194;4;925
209083;925;7194;4;925
210083;925;7194;4;925
211087;925;7194;4;925
212088;925;7194;4;925
213087;925;7194;4;925
214088;925;7194;4;925
215084;925;7194;4;925
216104;925;7194;4;925
217084;925;7194;4;925
218085;925;7194;4;925
219089;924;7194;4;925
220082;925;7194;4;925
221087;925;7194;4;925
222088;924;7194;4;925
223087;925;7194;4;925
224088;925;7194;4;925
225084;925;7194;4;925
226101;925;7194;4;925
227089;925;7194;4;925
228083;924;7194;4;925
229087;921;7194;4;925
230088;919;7194;4;925
231084;913;7194;4;925
232085;909;7194;4;925
233084;907;7194;4;925
234085;903;7194;4;925
235089;899;7194;4;925
236106;896;7194;4;925
237083;894;7194;4;925
238087;891;7194;4;925
239089;887;7194;4;925
240085;884;7194;4;925
241086;880;7194;4;925
242090;876;7194;4;925
243085;873;7194;4;925
244082;870;7194;4;925
245084;868;7194;4;925
246089;866;7194;4;925
247109;864;7194;4;925
248100;862;7194;4;925
249089;860;7194;4;925
250083;857;7194;4;925
251088;856;7194;4;925
252089;855;7194;4;925
253090;855;7194;4;925
254083;855;7194;4;925
255088;854;7194;4;925
256090;854;7194;4;925
257086;855;7194;4;925
258187;857;7194;4;925
259089;858;7194;4;925
260086;857;7194;4;925
261089;858;7194;4;925
262085;861;7194;4;925
263090;860;7194;4;925
264086;861;7194;4;925
265088;861;7194;4;925
266085;862;7194;4;925
267086;863;7194;4;925
268130;864;7194;4;925
269088;863;7194;4;925
270084;863;7194;4;925
271086;865;7194;4;925
272083;863;7194;4;925
273088;864;7194;4;925
274084;863;7194;4;925
275084;863;7194;4;925
