Timestamp;BLDC_POSTION;temp_max;temp_min;scop_sample
0;3310;7195;4;3311
1085;3310;7195;4;3311
2112;3310;7195;4;3311
3087;3311;7195;4;3311
4088;3311;7195;4;3311
5084;3311;7195;4;3311
6084;3311;7195;4;3311
7088;3311;7195;4;3311
8089;3311;7195;4;3311
9085;3311;7195;4;3311
10085;3310;7195;4;3311
11084;3310;7195;4;3311
12085;3310;7195;4;3311
13089;3311;7195;4;3311
14089;3311;7195;4;3311
15086;3311;7195;4;3311
16086;3310;7195;4;3311
17082;3310;7195;4;3311
18083;3311;7195;4;3311
19087;3311;7195;4;3311
20087;3312;7195;4;3311
21086;3310;7195;4;3311
22086;3311;7195;4;3311
23109;3311;7195;4;3311
24103;3311;7195;4;3311
25084;3310;7195;4;3311
26086;3311;7195;4;3311
27082;3311;7195;4;3311
28083;3310;7195;4;3311
29088;3311;7195;4;3311
30089;3310;7195;4;3311
31089;3311;7195;4;3311
32083;3310;7195;4;3311
33088;3311;7195;4;3311
34171;3311;7195;4;3311
35083;3310;7195;4;3311
36085;3310;7195;4;3311
37089;3311;7195;4;3311
38083;3310;7195;4;3311
39088;3311;7195;4;3311
40089;3311;7195;4;3311
41089;3311;7195;4;3311
42082;3311;7195;4;3311
43087;3311;7195;4;3311
44115;3310;7195;4;3311
45098;3310;7195;4;3311
46086;3310;7195;4;3311
47089;3310;7195;4;3311
48085;3309;7195;4;3311
49087;3310;7195;4;3311
50083;3311;7195;4;3311
51087;3311;7195;4;3311
52084;3310;7195;4;3311
53085;3311;7195;4;3311
54090;3310;7195;4;3311
55098;3309;7195;4;3311
56086;3310;7195;4;3311
57086;3311;7195;4;3311
58090;3310;7195;4;3311
59083;3310;7195;4;3311
60086;3310;7195;4;3311
61090;3310;7195;4;3311
62086;3311;7195;4;3311
63087;3311;7195;4;3311
64083;3311;7195;4;3311
65104;3311;7195;4;3311
66084;3311;7195;4;3311
67085;3310;7195;4;3311
68089;3311;7195;4;3311
69089;3311;7195;4;3311
70085;3310;7195;4;3311
71089;3311;7195;4;3311
72085;3310;7195;4;3311
73086;3311;7195;4;3311
74090;3311;7195;4;3311
75101;3310;7195;4;3311
76089;3311;7195;4;3311
77082;3311;7195;4;3311
78086;3310;7195;4;3311
